,migration_id,ver1_file_path,ver1_tree_path,ver1_signature,method_ver1
0,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,HttpClient__(ResponseErrorHandler errorHandler),"public HttpClient(ResponseErrorHandler errorHandler) {
    setErrorHandler(errorHandler);
}"
1,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"exchange__(String url, HttpMethod httpMethod, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> exchange(String url, HttpMethod httpMethod, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables) {
    HttpEntity<?> requestEntity = new HttpEntity<Object>(request, headers);
    return exchange(url, httpMethod, requestEntity, responseType, urlVariables);
}"
2,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"get__(String url, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> get(String url, Class<T> responseType, Object... urlVariables) {
    return get(url, null, responseType, urlVariables);
}"
3,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"get__(String url, HttpHeaders headers, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> get(String url, HttpHeaders headers, Class<T> responseType, Object... urlVariables) {
    return exchange(url, HttpMethod.GET, headers, null, responseType, urlVariables);
}"
4,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"post__(String url, Object request, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> post(String url, Object request, Class<T> responseType, Object... urlVariables) {
    return post(url, null, request, responseType, urlVariables);
}"
5,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"post__(String url, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> post(String url, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables) {
    return exchange(url, HttpMethod.POST, headers, request, responseType, urlVariables);
}"
6,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"put__(String url, Object request, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> put(String url, Object request, Class<T> responseType, Object... urlVariables) {
    return put(url, null, request, responseType, urlVariables);
}"
7,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"put__(String url, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> put(String url, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables) {
    return exchange(url, HttpMethod.PUT, headers, request, responseType, urlVariables);
}"
8,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"delete__(String url, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> delete(String url, Class<T> responseType, Object... urlVariables) {
    return delete(url, null, responseType, urlVariables);
}"
9,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"delete__(String url, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables)","public <T> ResponseEntity<T> delete(String url, HttpHeaders headers, Object request, Class<T> responseType, Object... urlVariables) {
    return exchange(url, HttpMethod.DELETE, headers, request, responseType, urlVariables);
}"
